Timeframe,Trades,Win_Rate,Avg_PnL,Avg_MFE,t_mfe_median,Profit_Capture,Avg_Holding
5min,4301,49.4%,0.00%,0.12%,2,3.7%,27.7
15min,1369,48.6%,0.02%,0.25%,3,7.2%,31.7
30min,627,52.2%,0.05%,0.41%,5,11.2%,34.6
60min,280,52.9%,0.32%,0.90%,8,35.5%,38.2
4h,67,50.7%,1.16%,2.52%,13,46.1%,41.3
1d,9,66.7%,-0.42%,4.54%,17,-9.2%,44.6
